id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_date_time,game_date,player_box
234000053,s:40~l:41~e:234000053~c:234000053,2003-03-28T00:10Z,28168,TRUE,FALSE,FALSE,FALSE,2003-03-28T00:10Z,event,MIDWEST REGIONAL,,,,,,,,,6,0:06,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,96,s:40~l:41~t:96,Kentucky,Wildcats,UK,Kentucky Wildcats,Kentucky,005DAA,ffffff,TRUE,251,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,23,63,TRUE,275,s:40~l:41~t:275,Wisconsin,Badgers,WISC,Wisconsin Badgers,Wisconsin,A00002,f7f7f7,TRUE,348,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,7,57,FALSE,234000053,2003,3,,,,,,22,2003-03-28T00:10:00Z,2003-03-27,FALSE
230852641,s:40~l:41~e:230852641~c:230852641,2003-03-27T02:00Z,10202,TRUE,FALSE,FALSE,FALSE,2003-03-27T02:00Z,event,NIT,0,N/A,2047,United Supermarkets Arena,Lubbock,TX,15098,TRUE,5,0:05,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,80,TRUE,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,72,FALSE,230852641,2003,3,,,,,,,2003-03-27T02:00:00Z,2003-03-26,FALSE
230850153,s:40~l:41~e:230850153~c:230850153,2003-03-27T00:00Z,15043,TRUE,FALSE,FALSE,FALSE,2003-03-27T00:00Z,"","",0,N/A,207,Dean E. Smith Center,Chapel Hill,NC,21750,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,74,FALSE,46,s:40~l:41~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,TRUE,1823,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,79,TRUE,230850153,2003,3,,,,,,,2003-03-27T00:00:00Z,2003-03-26,FALSE
230840046,s:40~l:41~e:230840046~c:230840046,2003-03-27T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-03-27T00:00Z,event,NIT,0,N/A,207,Dean E. Smith Center,Chapel Hill,NC,21750,TRUE,0,0:00,0,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,46,s:40~l:41~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,TRUE,1823,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,0,FALSE,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,0,FALSE,230840046,2003,3,,,,,,,2003-03-27T00:00:00Z,2003-03-26,FALSE
230840227,s:40~l:41~e:230840227~c:230840227,2003-03-26T00:30Z,7214,TRUE,FALSE,FALSE,FALSE,2003-03-26T00:30Z,event,NIT,0,N/A,2179,Ryan Center,Kingston,RI,8000,TRUE,20,0:20,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,227,s:40~l:41~t:227,Rhode Island,Rams,URI,Rhode Island Rams,Rhode Island,091f3f,5ab3e8,TRUE,2179,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png,3,53,FALSE,218,s:40~l:41~t:218,Temple,Owls,TEM,Temple Owls,Temple,A80532,a7a9ac,TRUE,2011,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,3,61,TRUE,230840227,2003,3,,,,,,,2003-03-26T00:30:00Z,2003-03-25,FALSE
230842561,s:40~l:41~e:230842561~c:230842561,2003-03-26T00:00Z,7230,TRUE,FALSE,FALSE,FALSE,2003-03-26T00:00Z,event,NIT,0,N/A,20,MVP Arena,Albany,NY,15727,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2561,s:40~l:41~t:2561,Siena,Saints,SIE,Siena Saints,Siena,037961,eea60f,TRUE,20,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,13,71,FALSE,5,s:40~l:41~t:5,UAB,Blazers,UAB,UAB Blazers,UAB,054338,ffc845,TRUE,2155,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,11,80,TRUE,230842561,2003,3,,,,,,,2003-03-26T00:00:00Z,2003-03-25,FALSE
230832294,s:40~l:41~e:230832294~c:230832294,2003-03-25T01:00Z,9038,TRUE,FALSE,FALSE,FALSE,2003-03-25T01:00Z,event,NIT,0,N/A,363,Carver-Hawkeye Arena,Iowa City,IA,15056,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2294,s:40~l:41~t:2294,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Iowa,000000,fcd116,TRUE,363,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,7,78,FALSE,59,s:40~l:41~t:59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,00223e,002c56,TRUE,2206,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,2,79,TRUE,230832294,2003,3,,,,,,,2003-03-25T01:00:00Z,2003-03-24,FALSE
230830153,s:40~l:41~e:230830153~c:230830153,2003-03-25T01:00Z,20235,TRUE,FALSE,FALSE,FALSE,2003-03-25T01:00Z,event,NIT,0,N/A,207,Dean E. Smith Center,Chapel Hill,NC,21750,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,153,s:40~l:41~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,207,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,90,TRUE,2751,s:40~l:41~t:2751,Wyoming,Cowboys,WYO,Wyoming Cowboys,Wyoming,533B22,ffffff,TRUE,2053,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,44,74,FALSE,230830153,2003,3,,,,,,,2003-03-25T01:00:00Z,2003-03-24,FALSE
230830135,s:40~l:41~e:230830135~c:230830135,2003-03-25T01:00Z,4311,TRUE,FALSE,FALSE,FALSE,2003-03-25T01:00Z,event,NIT,0,N/A,,,,,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,135,s:40~l:41~t:135,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,981a31,981a31,TRUE,2094,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,7,84,TRUE,62,s:40~l:41~t:62,Hawai'i,Rainbow Warriors,HAW,Hawai'i Rainbow Warriors,Hawai'i,003420,ffffff,TRUE,540,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,30,70,FALSE,230830135,2003,3,,,,,,,2003-03-25T01:00:00Z,2003-03-24,FALSE
230830062,s:40~l:41~e:230830062~c:230830062,2003-03-25T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-03-25T01:00Z,"","",0,N/A,,,,,,,0,0:00,0,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,62,s:40~l:41~t:62,Hawai'i,Rainbow Warriors,HAW,Hawai'i Rainbow Warriors,Hawai'i,003420,ffffff,TRUE,540,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,30,0,FALSE,135,s:40~l:41~t:135,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,981a31,981a31,TRUE,2094,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,7,0,FALSE,230830062,2003,3,,,,,,,2003-03-25T01:00:00Z,2003-03-24,FALSE
